Table vi_04_q: Entry clearance visas granted by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/statistics/immigration-statistics-year-ending-march-2018-data-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Broad category,Applicant type,Category,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1
*Total,*Total,*Total,*Total,"428,907","665,996","569,218","401,303","441,273","686,671","663,693","436,624","446,247","628,923","608,216","379,248","395,013","605,196","590,439","363,957","386,579","576,235","609,481","423,058","407,252","636,871","669,858","430,640","465,214","728,719","686,568","394,916","454,765","707,409","643,211","423,377","458,263","810,151","782,822","445,252","475,474","764,776","771,008","437,305","460,054","793,263","780,027","435,003","445,860","799,736","772,410","460,967","513,958","885,794","822,658","487,940","513,649"
*Total (excl. Visitors and transit),*Total,*Total,*Total (excluding visitors and transit),"121,258","159,061","196,901","109,081","127,537","163,339","216,379","116,437","130,561","148,264","209,755","105,221","116,992","137,881","220,962","108,341","110,464","110,867","240,217","135,902","117,028","123,503","241,981","114,454","129,399","130,579","220,197","84,632","94,493","120,751","208,324","83,972","86,505","122,807","233,095","89,643","92,141","123,625","237,703","92,608","89,356","118,697","234,506","91,448","86,491","141,249","239,945","90,152","93,319","154,003","252,444","95,426","94,181"
Work,*Total,*Total,*Total,"60,550","75,095","58,986","48,835","62,771","74,069","62,269","50,525","60,346","58,054","49,533","37,893","44,125","50,698","48,440","41,448","41,487","44,383","36,945","32,876","38,789","46,005","43,350","32,593","39,861","42,457","37,221","29,771","39,140","41,245","35,402","29,323","35,782","43,996","42,949","32,033","37,344","46,905","45,208","37,690","41,218","44,389","45,115","35,178","39,191","47,106","43,096","34,529","39,387","46,582","43,885","35,277","37,130"
Study,*Total,*Total,*Total (including Short-term study),"29,018","47,079","102,399","28,922","33,157","53,209","115,067","32,896","34,794","53,601","122,489","35,312","39,929","52,679","139,218","42,387","43,530","42,736","178,243","76,555","54,531","52,713","171,574","55,917","66,019","66,140","156,748","34,369","34,660","57,432","150,929","35,079","32,812","58,063","167,487","37,864","34,878","56,085","169,490","33,195","26,372","51,802","164,244","30,501","24,428","68,146","170,695","31,185","28,668","86,637","183,706","31,459","30,817"
Study,*Total,*Total,*Total (excluding Short-term study),"26,335","40,822","96,952","27,475","30,242","40,571","109,284","31,017","31,627","38,156","112,444","30,825","33,980","36,200","125,081","36,714","37,616","28,462","166,289","70,994","47,564","35,336","155,110","47,534","57,106","44,818","135,657","24,289","21,792","32,481","132,281","23,195","18,779","30,155","144,672","25,019","19,062","29,486","149,273","22,220","15,393","29,821","146,004","19,093","11,202","28,516","148,639","18,744","12,913","33,433","159,302","17,888","13,216"
Family,*Total,*Total,*Total,"15,943","17,903","16,958","15,520","16,117","16,997","19,164","17,841","18,892","15,047","16,703","13,747","14,305","13,406","14,061","11,772","12,997","10,625","11,468","14,083","12,393","12,296","13,409","14,211","11,843","9,800","12,926","10,371","10,635","10,492","9,851","9,171","7,344","7,344","9,381","9,093","9,389","7,801","8,315","9,371","9,097","8,376","9,680","10,566","9,449","8,954","9,307","10,082","10,120","7,383","10,254","12,951","10,023"
Dep. joining or accompanying,*Total,*Total,*Total,"6,850","8,385","7,394","5,792","5,888","7,933","8,017","5,721","7,879","11,589","12,281","10,339","11,780","12,327","10,903","6,450","4,787","4,867","3,918","3,908","3,308","4,273","3,959","3,817","3,641","3,584","3,993","2,937","2,558","3,294","3,119","2,729","2,543","3,258","3,369","2,550","2,474","2,969","3,148","2,474","2,308","2,970","2,482","2,030","1,748","2,038","2,293","1,946","2,057","1,818","2,803","2,258","1,509"
Other,*Total,*Total,*Total,"316,546","517,534","383,481","302,234","323,340","534,463","459,176","329,641","324,336","490,632","407,210","281,957","284,874","476,086","377,817","261,900","283,778","473,624","378,907","295,636","298,231","521,584","437,566","324,102","343,850","606,738","475,680","317,468","367,772","594,946","443,910","347,075","379,782","697,490","559,636","363,712","391,389","651,016","544,847","354,575","381,059","685,726","558,506","356,728","371,044","673,492","547,019","383,225","433,726","743,374","582,010","405,995","434,170"
Work,Tier 1 & pre-PBS equivalent,Main applicant,*Total,"1,430","1,806","2,065","2,185","2,226","2,177","2,173","2,370","2,364","2,575","3,048","3,564","4,708","3,596","3,228","5,895","7,906","4,948","2,989","3,008","3,282","4,179","5,017","3,525","4,248","1,401","1,460","1,547","3,560","1,911",420,380,448,454,561,440,572,667,607,843,472,353,402,392,461,468,552,543,718,565,750,678,713
Work,Tier 1 & pre-PBS equivalent,Dependant,*Total,0,713,"1,680","1,599","1,790","1,983","2,000","2,190","1,772","1,160","1,611","1,742","1,880","1,590","1,742","2,986","3,965","4,067","3,231","3,738","3,442","4,535","4,877","4,087","4,006","3,686","3,623","2,848","3,451","2,997","2,761","2,525","2,857","2,564","2,507","1,773","2,012","1,776","1,707","1,670","1,250","1,015",856,649,641,662,691,518,523,619,584,690,599
Work,Tier 2 & pre-PBS equivalent,Main applicant,*Total,"15,909","17,232","18,231","14,842","17,005","18,623","20,669","16,624","18,615","17,027","17,252","12,525","13,465","14,163","16,089","12,120","9,328","8,692","9,577","8,690","10,217","10,304","11,447","7,954","8,985","9,483","11,157","8,463","9,310","10,114","11,065","8,682","10,398","11,530","13,319","10,389","12,099","12,646","14,935","12,783","13,281","12,649","15,489","12,946","13,910","13,256","15,288","12,451","13,786","12,633","14,739","12,248","12,608"
