Table vi_06_q_w: Entry clearance visas granted by category and country of nationality: Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Geographical region,Country of nationality,Total Work,PBS - Tier 1 & pre-PBS equiv. Total (Main apps),PBS - Tier 1 General (Main apps),PBS - Tier 1 Investors (Main apps),PBS - Tier 1 Entrepreneurs (Main apps),PBS - Tier 1 Graduate Entrepreneurs (Main apps),PBS - Tier 1 Post study (Main apps),PBS - Tier 1 Exceptional talent (Main apps),PBS - Tier 1 Other (Main apps),International Graduates Scheme (Main apps),Other permit free employment - High value (Main apps),PBS - Tier 1 & pre-PBS equiv. Total (Deps),PBS - Tier 1 General (Deps),PBS - Tier 1 Investors (Deps),PBS - Tier 1 Entrepreneurs (Deps),PBS - Tier 1 Graduate Entrepreneurs (Deps),PBS - Tier 1 Post study (Deps),PBS - Tier 1 Exceptional talent (Deps),PBS - Tier 1 Other (Deps),Other permit free employment - High value (Deps),PBS - Tier 2 & pre-PBS equiv. Total (Main apps),PBS - Tier 2 General (Main apps),PBS - Tier 2 Intra company transfers (Main apps),PBS - Tier 2 Intra company transfers - short term (Main apps),PBS - Tier 2 Intra company transfers - long term (Main apps),PBS - Tier 2 Ministers of religion (Main apps),PBS - Tier 2 Sportsperson (Main apps),Work permit holders (Main apps),Ministers of religion or missionary (Main apps),Other permit free employment - Skilled (Main apps),PBS - Tier 2 & pre-PBS equiv. Total (Deps),PBS - Tier 2 (Deps),PBS - Tier 2 Intra company transfers - short term (Deps),PBS - Tier 2 Intra company transfers - long term (Deps),Work permit holders (Deps),PBS - Tier 5 & pre-PBS equiv. Total (Main apps),PBS - Tier 5 Charity workers (Main apps),PBS - Tier 5 Creative and sporting (Main apps),PBS - Tier 5 Government Authorised Exchange (Main apps),PBS - Tier 5 International agreement (Main apps),PBS - Tier 5 Religious workers (Main apps),PBS - Tier 5 Youth mobility (Main apps),Private servants in diplomatic h/holds. (Main apps),Religious workers (Main apps),Working holidaymakers (Main apps),Other permit free employment (Main apps),PBS - Tier 5 & pre-PBS equiv. Total (Deps),PBS - Tier 5 (Deps),Non-PBS Total (Main apps),Non-PBS Domestic workers in private h/holds. (Main apps),Non-PBS UK ancestry (Main apps),Non-PBS Other permit free employment (Main apps),Non-PBS Total (Deps),Non-PBS Domestic workers in private h/holds. (Deps),Other Total (Main apps),Other permit free employment not allocated (Main apps)
2005 Q1,*Total,*Total,"60,550","1,430",z,z,z,z,z,z,z,z,"1,430",0,z,z,z,z,z,z,z,0,"15,909",z,z,z,z,z,z,"15,720",189,z,"10,920",z,z,z,"10,920","20,948",z,z,z,z,z,z,45,0,"19,511","1,392",z,z,"5,169","2,282","2,813",74,22,22,"6,152","6,152"
2005 Q2,*Total,*Total,"75,095","1,806",z,z,z,z,z,z,z,z,"1,806",713,z,z,z,z,z,z,z,713,"17,232",z,z,z,z,z,z,"17,006",226,z,"12,555",z,z,z,"12,555","18,362",z,z,z,z,z,z,56,0,"17,251","1,055",z,z,"11,287","8,375","2,828",84,61,61,"13,079","13,079"
2005 Q3,*Total,*Total,"58,986","2,065",z,z,z,z,z,z,z,z,"2,065","1,680",z,z,z,z,z,z,z,"1,680","18,231",z,z,z,z,z,z,"17,856",375,z,"12,377",z,z,z,"12,377","13,129",z,z,z,z,z,z,66,1,"11,273","1,789",z,z,"6,082","3,857","2,153",72,42,42,"5,380","5,380"
2005 Q4,*Total,*Total,"48,835","2,185",z,z,z,z,z,z,z,z,"2,185","1,599",z,z,z,z,z,z,z,"1,599","14,842",z,z,z,z,z,z,"14,682",160,0,"9,823",z,z,z,"9,823","12,212",z,z,z,z,z,z,69,2,"10,388","1,753",z,z,"4,836","2,425","2,348",63,54,54,"3,284","3,284"
2006 Q1,*Total,*Total,"62,771","2,226",z,z,z,z,z,z,z,z,"2,226","1,790",z,z,z,z,z,z,z,"1,790","17,005",z,z,z,z,z,z,"16,716",186,103,"12,058",z,z,z,"12,058","15,373",z,z,z,z,z,z,90,262,"13,693","1,328",z,z,"5,441","2,395","2,944",102,64,64,"8,814","8,814"
2006 Q2,*Total,*Total,"74,069","2,177",z,z,z,z,z,z,z,z,"2,177","1,983",z,z,z,z,z,z,z,"1,983","18,623",z,z,z,z,z,z,"18,198",224,201,"12,537",z,z,z,"12,537","15,836",z,z,z,z,z,z,72,541,"14,385",838,z,z,"10,990","8,151","2,744",95,89,89,"11,834","11,834"
2006 Q3,*Total,*Total,"62,269","2,173",z,z,z,z,z,z,z,z,"2,173","2,000",z,z,z,z,z,z,z,"2,000","20,669",z,z,z,z,z,z,"20,186",255,228,"13,809",z,z,z,"13,809","11,206",z,z,z,z,z,z,94,411,"9,162","1,539",z,z,"7,010","4,846","2,069",95,74,74,"5,328","5,328"
2006 Q4,*Total,*Total,"50,525","2,370",z,z,z,z,z,z,z,z,"2,370","2,190",z,z,z,z,z,z,z,"2,190","16,624",z,z,z,z,z,z,"16,254",184,186,"11,115",z,z,z,"11,115","10,845",z,z,z,z,z,z,68,311,"8,889","1,577",z,z,"4,569","2,509","1,985",75,40,40,"2,772","2,772"
2007 Q1,*Total,*Total,"60,346","2,364",z,z,z,z,z,z,z,z,"2,364","1,772",z,z,z,z,z,z,z,"1,772","18,615",z,z,z,z,z,z,"18,186",212,217,"10,759",z,z,z,"10,759","15,173",z,z,z,z,z,z,61,296,"13,618","1,198",z,z,"5,471","2,492","2,902",77,65,65,"6,127","6,127"
2007 Q2,*Total,*Total,"58,054","2,575",z,z,z,z,z,z,z,0,"2,575","1,160",z,z,z,z,z,z,z,"1,160","17,027",z,z,z,z,z,z,"16,685",177,165,"7,194",z,z,z,"7,194","12,296",z,z,z,z,z,z,50,331,"11,357",558,z,z,"10,067","7,689","2,300",78,44,44,"7,691","7,691"
