name,alternatenames,lat,lon,pop,area
Bubanza Province,"Bubanza,Bubanza Province,Province de Bubanza,iProvense ya Bubanza",-3.11667,29.4,354427,1089
Bujumbura Mairie Province,"Bujumbura,Bujumbura Mairie,Bujumbura Mairie Province",-3.3802,29.3547,800000,87
Bujumbura Rural Province,"Bujumbura,Bujumbura Rural,Bujumbura Rural Province",-3.4627,29.46259,555933,1089
Bururi Province,"Bururi,Bururi Province,Province de Bururi,iProvense ya Bururi",-3.85,29.63333,493490,2465
Cankuzo Province,"Cankuzo,Cankuzo Province,Province de Cankuzo,iProvense ya Cankuzo",-3.13333,30.58333,202283,1965
Cibitoke Province,"Cibitoke,Cibitoke Province,Province de Cibitoke,iProvense ya Cibitoke",-2.88333,29.25,490949,1636
Gitega Province,"Gitega,Gitega Province,Kitega,Province de Gitega,iProvense ya Gitega",-3.5,29.95,675016,1979
Karuzi Province,"Karuzi,Karuzi Province,Province de Karuzi,iProvense ya Karuzi",-3.125,30.13333,479683,1457
Kayanza Province,"Kayanza,Kayanza Province,Province de Kayanza,iProvense ya Kayanza",-3.06667,29.66667,486917,1233
Kirundo Province,"Kirundo,Kirundo Province,Province de Kirundo,iProvense ya Kirundo",-2.58333,30.16667,602089,1703
Makamba Province,"Makamba,Makamba Province,Province de Makamba,iProvense ya Makamba",-4.16667,29.75278,499682,1960
Muramvya Province,"Muramvya,Muramvya Province,Province de Muramvya,iProvense ya Muramvya",-3.25,29.66667,303482,696
Muyinga Province,"Muyinga,Muyinga Province,Province de Muyinga,iProvense ya Muyinga",-2.83333,30.33333,595947,1836
Mwaro Province,"Mwaro,Mwaro Province,Province de Mwaro,iProvense ya Mwaro",-3.5,29.66667,274890,840
Ngozi Province,"Ngozi,Ngozi Province,Province de Ngozi,iProvense ya Ngozi",-2.875,29.925,719158,1474
Rumonge Province,"Rumonge,Rumonge Province",-3.96478,29.44765,35000,0
Rutana Province,"Province de Rutana,Rutana,Rutana Province,iProvense ya Rutana",-3.86667,30.1,293572,1959
Ruyigi Province,"Province de Ruyigi,Ruyigi,Ruyigi Province,iProvense ya Ruyigi",-3.45,30.31667,369797,2339
